"Platform","ReaderName","FileName","Slug","AffiliateUrl","Status","DestinationUrl"
"keen","","psychic-jane-just-knows.md","keen-psychic-jane-just-knows","/go/keen-psychic-jane-just-knows/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=209&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Flove-relationships%2Fpsychic-jane-just-knows%2F6859792%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","master-psychic-dev.md","keen-master-psychic-dev","/go/keen-master-psychic-dev/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=209&aff_id=2326&url=http%3A%2F%2Fwww.keen.com%2Flove-relationships%2Fmaster-psychic-dev%2F10669544%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","ladyfontaine.md","keen-ladyfontaine","/go/keen-ladyfontaine/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=209&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Fladyfontaine%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","lady-india.md","keen-lady-india","/go/keen-lady-india/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=209&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Flove-relationships%2Flady-india%2F3324823%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","lollie-ext-5555.md","keen-lollie-ext-5555","/go/keen-lollie-ext-5555/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=209&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Flollie-ext-5555%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","master-psychic-adam-stone.md","keen-master-psychic-adam-stone","/go/keen-master-psychic-adam-stone/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=209&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Fpsychic-mediums%2Fmaster-psychic-adam-stone%2F11362802%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","love-psychic-victoria-sands-keen-review-2026.md","keen-victoria","/go/keen-victoria/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=221&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Fpsychic-readings%2Flove-psychic-victoria-sands%2F5141310%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","psychic-visions-by-atlantis-on-keen-review-2026.md","keen-atlantis","/go/keen-atlantis/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=221&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Fpsychic-readings%2Fpsychic-visions-by-atlantis%2F6748553%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","tammy-the-voice-reader.md","keen-tammy-the-voice-reader","/go/keen-tammy-the-voice-reader/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=209&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Flove-relationships%2Fmistress-voice-reader%2F5177751%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
"keen","","spirit-answers-on-keen-review-2026.md","keen-spirit-answers","/go/keen-spirit-answers/","DEEP_LINK_OK","https://bargestech.go2cloud.org/aff_c?offer_id=221&aff_id=2326&url=https%3A%2F%2Fwww.keen.com%2Flove-relationships%2Fspirit-answers%2F12449381%3Ftid%3D8QOUJYM6%26partnereventid%3D{transaction_id}%26tune_offerid%3D{offer_id}%26utm_medium%3Daffiliation_tune%26utm_source%3D{affiliate_id}-{affiliate_name}"
